iter	Passed	Remaining
882	1006	133
883	1008	132
884	1009	131
885	1010	130
886	1011	128
887	1013	127
888	1014	126
889	1015	125
890	1016	124
891	1017	123
892	1018	122
893	1019	120
894	1020	119
895	1021	118
896	1022	117
897	1024	116
898	1025	115
899	1027	114
900	1028	112
901	1029	111
902	1030	110
903	1031	109
904	1032	108
905	1034	107
906	1035	106
907	1036	105
908	1037	103
909	1039	102
910	1040	101
911	1041	100
912	1042	99
913	1043	98
914	1044	97
915	1045	95
916	1046	94
917	1048	93
918	1049	92
919	1050	91
920	1051	90
921	1052	89
922	1053	87
923	1054	86
924	1055	85
925	1056	84
926	1057	83
927	1058	82
928	1059	81
929	1061	79
930	1062	78
931	1063	77
932	1064	76
933	1065	75
934	1066	74
935	1067	73
936	1068	71
937	1070	70
938	1071	69
939	1072	68
940	1073	67
941	1074	66
942	1076	65
943	1077	63
944	1078	62
945	1079	61
946	1080	60
947	1081	59
948	1083	58
949	1084	57
950	1085	55
951	1086	54
952	1087	53
953	1088	52
954	1089	51
955	1091	50
956	1092	49
957	1093	47
958	1094	46
959	1095	45
960	1096	44
961	1098	43
962	1099	42
963	1100	41
964	1101	39
965	1102	38
966	1103	37
967	1104	36
968	1105	35
969	1106	34
970	1107	33
971	1108	31
972	1109	30
973	1111	29
974	1112	28
975	1113	27
976	1114	26
977	1115	25
978	1116	23
979	1117	22
980	1118	21
981	1119	20
982	1121	19
983	1122	18
984	1123	17
985	1124	15
986	1126	14
987	1127	13
988	1128	12
989	1129	11
990	1130	10
991	1131	9
992	1132	7
993	1133	6
994	1134	5
995	1136	4
996	1137	3
997	1138	2
998	1139	1
999	1140	0
